age_months,sex,14.5,18.5,20,25,30,35,40,45,50,55,60,65,70,78,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,difference_SD1_SD2
0,1,9.473442211,11.79627273,12.57170073,14.80490605,16.54298465,17.97617256,19.7376048,21.53007941,23.32255402,25.11502862,26.90750323,28.69997784,30.49245245,33.36041182,-0.3053,13.4069,0.0956,9.235,10.184,11.133,12.201,13.407,14.773,16.326,18.1,19.653,21.206,22.759,24.312,25.865,27.418,28.971,30.524,32.077,33.63,35.183,36.736,38.289,39.842,41.395,42.948,44.501,46.054,47.607,49.16,50.713,52.266,53.819,55.372,56.925,58.478,60.031,61.584,63.137,64.69,66.243,67.796,69.349,70.902,72.455,74.008,75.561,1.553
1,1,10.40167839,13.14805005,14.01082401,16.336509,17.98425578,19.26071401,20.93690028,22.6508892,24.36487812,26.07886704,27.79285596,29.50684488,31.2208338,33.96321607,0.2738,14.914,0.09035,10.116,11.253,12.391,13.61,14.914,16.306,17.791,19.371,20.856,22.341,23.826,25.311,26.796,28.281,29.766,31.251,32.736,34.221,35.706,37.191,38.676,40.161,41.646,43.131,44.616,46.101,47.586,49.071,50.556,52.041,53.526,55.011,56.496,57.981,59.466,60.951,62.436,63.921,65.406,66.891,68.376,69.861,71.346,72.831,74.316,1.485
2,1,11.66171357,14.48251277,15.37895945,17.82764566,19.59364582,20.97836064,22.77356602,24.60759187,26.44161773,28.27564358,30.10966944,31.94369529,33.77772114,36.71216251,0.1113,16.3231,0.08676,11.369,12.534,13.7,14.96,16.323,17.795,19.384,21.098,22.687,24.276,25.865,27.454,29.043,30.632,32.221,33.81,35.399,36.988,38.577,40.166,41.755,43.344,44.933,46.522,48.111,49.7,51.289,52.878,54.467,56.056,57.645,59.234,60.823,62.412,64.001,65.59,67.179,68.768,70.357,71.946,73.535,75.124,76.713,78.302,79.891,1.589
3,1,12.22021106,15.03861798,15.94126277,18.42646745,20.23874002,21.67031217,23.51174515,25.39193906,27.27213296,29.15232687,31.03252078,32.91271468,34.79290859,37.80121884,0.0077,16.895,0.08496,11.928,13.091,14.253,15.518,16.895,18.393,20.022,21.794,23.423,25.052,26.681,28.31,29.939,31.568,33.197,34.826,36.455,38.084,39.713,41.342,42.971,44.6,46.229,47.858,49.487,51.116,52.745,54.374,56.003,57.632,59.261,60.89,62.519,64.148,65.777,67.406,69.035,70.664,72.293,73.922,75.551,77.18,78.809,80.438,82.067,1.629
4,1,12.50794472,15.30127068,16.20064801,18.69181671,20.52453175,21.98114833,23.84267128,25.74248661,27.64230194,29.54211727,31.44193259,33.34174792,35.24156325,38.28126777,-0.0709,17.1533,0.08381,12.219,13.369,14.52,15.778,17.153,18.658,20.304,22.107,23.753,25.399,27.045,28.691,30.337,31.983,33.629,35.275,36.921,38.567,40.213,41.859,43.505,45.151,46.797,48.443,50.089,51.735,53.381,55.027,56.673,58.319,59.965,61.611,63.257,64.903,66.549,68.195,69.841,71.487,73.133,74.779,76.425,78.071,79.717,81.363,83.009,1.646
5,1,12.68567839,15.44943922,16.34280373,18.83002216,20.67497803,22.1477523,24.02121607,25.93257341,27.84393075,29.75528809,31.66664543,33.57800277,35.48936011,38.54753186,-0.1366,17.2914,0.08297,12.4,13.537,14.675,15.922,17.291,18.796,20.452,22.275,23.931,25.587,27.243,28.899,30.555,32.211,33.867,35.523,37.179,38.835,40.491,42.147,43.803,45.459,47.115,48.771,50.427,52.083,53.739,55.395,57.051,58.707,60.363,62.019,63.675,65.331,66.987,68.643,70.299,71.955,73.611,75.267,76.923,78.579,80.235,81.891,83.547,1.656
6,1,12.7811608,15.51298672,16.39934469,18.87706325,20.72532348,22.20698449,24.08332502,25.99699077,27.91065651,29.82432225,31.737988,33.65165374,35.56531948,38.62718467,-0.1903,17.3419,0.08235,12.499,13.622,14.746,15.981,17.342,18.843,20.501,22.335,23.993,25.651,27.309,28.967,30.625,32.283,33.941,35.599,37.257,38.915,40.573,42.231,43.889,45.547,47.205,48.863,50.521,52.179,53.837,55.495,57.153,58.811,60.469,62.127,63.785,65.443,67.101,68.759,70.417,72.075,73.733,75.391,77.049,78.707,80.365,82.023,83.681,1.658
7,1,12.82064322,15.51791318,16.39565612,18.85702216,20.70405736,22.19056568,24.06521607,25.97657341,27.88793075,29.79928809,31.71064543,33.62200277,35.53336011,38.59153186,-0.2369,17.3302,0.08185,12.542,13.651,14.759,15.981,17.33,18.823,20.479,22.319,23.975,25.631,27.287,28.943,30.599,32.255,33.911,35.567,37.223,38.879,40.535,42.191,43.847,45.503,47.159,48.815,50.471,52.127,53.783,55.439,57.095,58.751,60.407,62.063,63.719,65.375,67.031,68.687,70.343,71.999,73.655,75.311,76.967,78.623,80.279,81.935,83.591,1.656
8,1,12.81537186,15.47397651,16.3413528,18.78187835,20.62193505,22.10763548,23.97483472,25.87811265,27.78139058,29.68466851,31.58794645,33.49122438,35.39450231,38.439747,-0.2795,17.2661,0.08141,12.541,13.633,14.725,15.931,17.266,18.748,20.397,22.236,23.885,25.534,27.183,28.832,30.481,32.13,33.779,35.428,37.077,38.726,40.375,42.024,43.673,45.322,46.971,48.62,50.269,51.918,53.567,55.216,56.865,58.514,60.163,61.812,63.461,65.11,66.759,68.408,70.057,71.706,73.355,75.004,76.653,78.302,79.951,81.6,83.249,1.649
9,1,12.7801005,15.39841879,16.25504947,18.6716729,20.50132348,21.98298449,23.83928994,25.73102585,27.62276177,29.51449769,31.40623361,33.29796953,35.18970545,38.21648292,-0.3165,17.1696,0.08103,12.51,13.585,14.66,15.849,17.17,18.638,20.277,22.111,23.75,25.389,27.028,28.667,30.306,31.945,33.584,35.223,36.862,38.501,40.14,41.779,43.418,45.057,46.696,48.335,49.974,51.613,53.252,54.891,56.53,58.169,59.808,61.447,63.086,64.725,66.364,68.003,69.642,71.281,72.92,74.559,76.198,77.837,79.476,81.115,82.754,1.639
10,1,12.72582915,15.30548212,16.15082401,18.54242636,20.35946728,21.8354731,23.6786362,25.5565217,27.4344072,29.31229271,31.19017821,33.06806371,34.94594922,37.95056602,-0.3502,17.0543,0.08069,12.46,13.518,14.577,15.75,17.054,18.509,20.136,21.963,23.59,25.217,26.844,28.471,30.098,31.725,33.352,34.979,36.606,38.233,39.86,41.487,43.114,44.741,46.368,47.995,49.622,51.249,52.876,54.503,56.13,57.757,59.384,61.011,62.638,64.265,65.892,67.519,69.146,70.773,72.4,74.027,75.654,77.281,78.908,80.535,82.162,1.627
