age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,diff_SD2_SD3
0,1,-0.3053,13.4069,0.0956,9.235,10.184,11.133,12.201,13.407,14.773,16.326,18.1,19.874,21.648000000000003,23.422000000000004,25.196000000000005,26.970000000000006,1.774000000000001
1,1,0.2738,14.914,0.09035,10.116,11.253,12.391,13.61,14.914,16.306,17.791,19.371,20.951,22.530999999999995,24.110999999999994,25.690999999999992,27.27099999999999,1.5799999999999983
2,1,0.1113,16.3231,0.08676,11.369,12.534,13.7,14.96,16.323,17.795,19.384,21.098,22.811,24.525999999999996,26.239999999999995,27.953999999999994,29.667999999999992,1.7139999999999986
3,1,0.0077,16.895,0.08496,11.928,13.091,14.253,15.518,16.895,18.393,20.022,21.794,23.567,25.338000000000005,27.110000000000007,28.88200000000001,30.65400000000001,1.772000000000002
4,1,-0.0709,17.1533,0.08381,12.219,13.369,14.52,15.778,17.153,18.658,20.304,22.107,23.91,25.713,27.516000000000002,29.319000000000003,31.122000000000003,1.8030000000000008
5,1,-0.1366,17.2914,0.08297,12.4,13.537,14.675,15.922,17.291,18.796,20.452,22.275,24.098,25.920999999999992,27.74399999999999,29.566999999999986,31.389999999999983,1.8229999999999968
6,1,-0.1903,17.3419,0.08235,12.499,13.622,14.746,15.981,17.342,18.843,20.501,22.335,24.17,26.003,27.837,29.671,31.505,1.8339999999999996
7,1,-0.2369,17.3302,0.08185,12.542,13.651,14.759,15.981,17.33,18.823,20.479,22.319,24.159,25.999,27.839,29.679,31.519,1.8399999999999999
8,1,-0.2795,17.2661,0.08141,12.541,13.633,14.725,15.931,17.266,18.748,20.397,22.236,24.075,25.914000000000005,27.753000000000007,29.59200000000001,31.43100000000001,1.8390000000000022
9,1,-0.3165,17.1696,0.08103,12.51,13.585,14.66,15.849,17.17,18.638,20.277,22.111,23.945,25.779,27.613,29.447,31.281,1.8339999999999996
10,1,-0.3502,17.0543,0.08069,12.46,13.518,14.577,15.75,17.054,18.509,20.136,21.963,23.789,25.617000000000004,27.444000000000006,29.271000000000008,31.09800000000001,1.8270000000000017
11,1,-0.382,16.9273,0.08038,12.398,13.44,14.482,15.639,16.927,18.367,19.982,21.8,23.618,25.436000000000003,27.254000000000005,29.072000000000006,30.890000000000008,1.8180000000000014
12,1,-0.4104,16.8033,0.0801,12.335,13.362,14.388,15.53,16.803,18.229,19.832,21.64,23.449,25.256,27.064,28.872,30.68,1.8079999999999998
13,1,-0.4376,16.6771,0.07983,12.269,13.28,14.292,15.419,16.677,18.089,19.679,21.478,23.277,25.076000000000008,26.87500000000001,28.674000000000014,30.473000000000017,1.799000000000003
14,1,-0.4621,16.5591,0.07959,12.205,13.203,14.201,15.314,16.559,17.958,19.536,21.326,23.116,24.906,26.695999999999998,28.485999999999997,30.275999999999996,1.7899999999999991
