,age_months,sex,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8,SD9,SD10,SD11,SD12,SD13,SD14,SD15,SD16,SD17,SD18,SD19,SD20,SD21,SD22,SD23,SD24,SD25,SD26,SD27,SD28,SD29,SD30,SD31,SD32,SD33,SD34,SD35,SD36,SD37,SD38,SD39,SD40,distance_SBMI
0,0,1,-0.3053,13.4069,0.0956,9.235,10.184,11.133,12.201,13.407,14.773,16.326,18.1,19.653000000000002,21.206000000000003,22.759000000000004,24.312000000000005,25.865000000000006,27.418000000000006,28.971000000000007,30.524000000000008,32.07700000000001,33.63000000000001,35.18300000000001,36.73600000000001,38.289000000000016,39.84200000000001,41.39500000000001,42.948000000000015,44.50100000000002,46.054000000000016,47.60700000000001,49.16000000000002,50.713000000000015,52.26600000000002,53.819000000000024,55.37200000000002,56.92500000000002,58.47800000000002,60.03100000000003,61.584000000000024,63.13700000000002,64.69000000000003,66.24300000000002,67.79600000000002,69.34900000000002,70.90200000000003,72.45500000000004,74.00800000000004,75.56100000000004,1.5530000000000008
1,1,1,0.2738,14.914,0.09035,10.116,11.253,12.391,13.61,14.914,16.306,17.791,19.371,20.855999999999998,22.340999999999998,23.825999999999997,25.310999999999996,26.795999999999996,28.280999999999995,29.765999999999995,31.250999999999994,32.73599999999999,34.22099999999999,35.70599999999999,37.19099999999999,38.67599999999999,40.16099999999999,41.64599999999999,43.130999999999986,44.615999999999985,46.100999999999985,47.585999999999984,49.070999999999984,50.55599999999998,52.04099999999998,53.52599999999998,55.01099999999998,56.49599999999998,57.98099999999998,59.46599999999998,60.95099999999998,62.43599999999998,63.92099999999998,65.40599999999998,66.89099999999998,68.37599999999998,69.86099999999998,71.34599999999998,72.83099999999997,74.31599999999997,1.4849999999999994
2,2,1,0.1113,16.3231,0.08676,11.369,12.534,13.7,14.96,16.323,17.795,19.384,21.098,22.686999999999998,24.275999999999996,25.864999999999995,27.453999999999994,29.042999999999992,30.63199999999999,32.22099999999999,33.80999999999999,35.39899999999999,36.987999999999985,38.576999999999984,40.16599999999998,41.75499999999998,43.34399999999998,44.93299999999998,46.52199999999998,48.110999999999976,49.699999999999974,51.28899999999997,52.87799999999997,54.46699999999997,56.05599999999997,57.64499999999997,59.233999999999966,60.822999999999965,62.41199999999996,64.00099999999996,65.58999999999996,67.17899999999996,68.76799999999996,70.35699999999996,71.94599999999996,73.53499999999995,75.12399999999995,76.71299999999995,78.30199999999995,79.89099999999995,1.5889999999999986
3,3,1,0.0077,16.895,0.08496,11.928,13.091,14.253,15.518,16.895,18.393,20.022,21.794,23.423,25.051999999999996,26.680999999999994,28.30999999999999,29.93899999999999,31.567999999999987,33.19699999999999,34.82599999999998,36.454999999999984,38.083999999999975,39.71299999999998,41.34199999999997,42.970999999999975,44.599999999999966,46.22899999999997,47.85799999999996,49.486999999999966,51.11599999999996,52.74499999999996,54.37399999999995,56.00299999999996,57.63199999999995,59.26099999999995,60.889999999999944,62.51899999999995,64.14799999999994,65.77699999999994,67.40599999999993,69.03499999999994,70.66399999999993,72.29299999999994,73.92199999999993,75.55099999999993,77.17999999999992,78.80899999999993,80.43799999999992,82.06699999999992,1.6289999999999978
4,4,1,-0.0709,17.1533,0.08381,12.219,13.369,14.52,15.778,17.153,18.658,20.304,22.107,23.752999999999997,25.398999999999994,27.04499999999999,28.69099999999999,30.336999999999986,31.982999999999983,33.62899999999998,35.27499999999998,36.92099999999998,38.56699999999997,40.212999999999965,41.858999999999966,43.50499999999997,45.15099999999996,46.796999999999954,48.442999999999955,50.088999999999956,51.73499999999995,53.38099999999994,55.026999999999944,56.672999999999945,58.31899999999994,59.96499999999993,61.61099999999993,63.256999999999934,64.90299999999993,66.54899999999992,68.19499999999992,69.84099999999992,71.48699999999991,73.13299999999991,74.77899999999991,76.42499999999991,78.07099999999991,79.7169999999999,81.3629999999999,83.0089999999999,1.6459999999999972
5,5,1,-0.1366,17.2914,0.08297,12.4,13.537,14.675,15.922,17.291,18.796,20.452,22.275,23.931,25.587000000000003,27.243000000000006,28.899000000000008,30.55500000000001,32.21100000000001,33.86700000000002,35.52300000000002,37.179000000000016,38.83500000000002,40.49100000000003,42.14700000000003,43.803000000000026,45.45900000000003,47.11500000000004,48.771000000000036,50.427000000000035,52.08300000000004,53.73900000000005,55.395000000000046,57.05100000000005,58.70700000000005,60.36300000000005,62.019000000000055,63.67500000000006,65.33100000000006,66.98700000000005,68.64300000000006,70.29900000000006,71.95500000000007,73.61100000000008,75.26700000000008,76.92300000000009,78.57900000000008,80.23500000000007,81.89100000000008,83.54700000000008,1.6560000000000024
6,6,1,-0.1903,17.3419,0.08235,12.499,13.622,14.746,15.981,17.342,18.843,20.501,22.335,23.993000000000002,25.651000000000003,27.309000000000005,28.967000000000006,30.625000000000007,32.28300000000001,33.94100000000001,35.59900000000001,37.25700000000001,38.91500000000001,40.573000000000015,42.231000000000016,43.88900000000002,45.54700000000002,47.20500000000002,48.86300000000002,50.52100000000002,52.17900000000002,53.837000000000025,55.495000000000026,57.15300000000003,58.81100000000003,60.46900000000003,62.12700000000003,63.78500000000003,65.44300000000004,67.10100000000003,68.75900000000004,70.41700000000003,72.07500000000005,73.73300000000003,75.39100000000005,77.04900000000004,78.70700000000005,80.36500000000004,82.02300000000005,83.68100000000004,1.6580000000000013
7,7,1,-0.2369,17.3302,0.08185,12.542,13.651,14.759,15.981,17.33,18.823,20.479,22.319,23.974999999999998,25.630999999999997,27.286999999999995,28.942999999999994,30.598999999999993,32.254999999999995,33.91099999999999,35.56699999999999,37.222999999999985,38.87899999999999,40.53499999999998,42.19099999999999,43.84699999999998,45.502999999999986,47.15899999999998,48.81499999999998,50.470999999999975,52.12699999999998,53.78299999999997,55.43899999999998,57.09499999999997,58.750999999999976,60.40699999999997,62.062999999999974,63.718999999999966,65.37499999999997,67.03099999999996,68.68699999999997,70.34299999999996,71.99899999999997,73.65499999999996,75.31099999999996,76.96699999999996,78.62299999999996,80.27899999999995,81.93499999999996,83.59099999999995,1.6559999999999988
8,8,1,-0.2795,17.2661,0.08141,12.541,13.633,14.725,15.931,17.266,18.748,20.397,22.236,23.884999999999998,25.533999999999995,27.182999999999993,28.83199999999999,30.480999999999987,32.12999999999998,33.77899999999998,35.42799999999998,37.07699999999998,38.72599999999997,40.37499999999997,42.02399999999997,43.672999999999966,45.32199999999996,46.97099999999996,48.61999999999996,50.268999999999956,51.91799999999995,53.56699999999995,55.21599999999995,56.86499999999995,58.51399999999994,60.16299999999994,61.81199999999994,63.46099999999994,65.10999999999993,66.75899999999993,68.40799999999993,70.05699999999993,71.70599999999992,73.35499999999992,75.00399999999992,76.65299999999992,78.30199999999991,79.95099999999991,81.59999999999991,83.24899999999991,1.6489999999999974
9,9,1,-0.3165,17.1696,0.08103,12.51,13.585,14.66,15.849,17.17,18.638,20.277,22.111,23.75,25.389,27.028,28.666999999999998,30.305999999999997,31.944999999999997,33.583999999999996,35.223,36.861999999999995,38.50099999999999,40.13999999999999,41.778999999999996,43.41799999999999,45.05699999999999,46.69599999999999,48.334999999999994,49.97399999999999,51.612999999999985,53.25199999999999,54.89099999999999,56.52999999999999,58.16899999999998,59.80799999999999,61.44699999999999,63.085999999999984,64.72499999999998,66.36399999999999,68.00299999999999,69.64199999999998,71.28099999999998,72.91999999999999,74.55899999999998,76.19799999999998,77.83699999999997,79.47599999999998,81.11499999999998,82.75399999999998,1.6389999999999993
