age_months,sex,L,M,S,BMI_20,BMI_23,BMI_25,BMI_30,BMI_35,BMI_40,BMI_45,BMI_50,BMI_55,BMI_60,BMI_65,BMI_70
24,1,-0.624,16.482,0.07950,16.08506311,17.53931079,18.35642893,19.9914107,21.20018349,22.11740561,22.82988995,23.39483176,23.85088375,24.22483265,24.53568316,24.79721105
30,1,-0.758,16.237,0.07911,15.84846472,17.27773458,18.08805604,19.72604977,20.95200482,21.89113484,22.62608152,23.21229325,23.68778456,24.07920522,24.40564098,24.68103396
36,1,-0.888,16.019,0.07892,15.63717107,17.04750419,17.85434507,19.5024702,20.75190601,21.71871983,22.48141398,23.09368892,23.59293508,24.00569556,24.35117654,24.64352873
42,1,-1.012,15.831,0.07905,15.45359904,16.8533667,17.66159131,19.33064515,20.61318991,21.61644487,22.41483011,23.06032689,23.58974615,24.02958427,24.39923495,24.71312508
48,1,-1.130,15.676,0.07968,15.29991628,16.70098131,17.51799229,19.22535511,20.55710511,21.61163163,22.45922134,23.15014102,23.72068471,24.19739981,24.5999799,24.9432417
54,1,-1.240,15.550,0.08107,15.17110362,16.5896477,17.42607237,19.19784582,20.60393857,21.73343443,22.65216123,23.40854072,24.03836393,24.56832906,25.01857207,25.40445711
60,1,-1.342,15.452,0.08353,15.0648769,16.52276109,17.39380148,19.26947036,20.79006757,22.0338181,23.06104487,23.91775173,24.63899634,25.25161565,25.77630208,26.22914628
66,1,-1.436,15.378,0.08729,14.97640535,16.49967458,17.42461945,19.4578967,21.15191511,22.5709205,23.76731334,24.78304865,25.65147099,26.39904979,27.04684629,27.61169229
72,1,-1.517,15.336,0.09195,14.91529541,16.52385695,17.51846964,19.75775967,21.68505091,23.34761737,24.78668585,26.03733438,27.1290001,28.08620831,28.92932906,29.67527428
78,1,-1.581,15.338,0.09685,14.89603003,16.59939208,17.67194067,20.1473387,22.35334559,24.31990229,26.07486486,27.64353426,29.04850952,30.30974677,31.44473446,32.46872389
84,1,-1.621,15.392,0.10136,14.92889254,16.72587786,17.87517195,20.58661022,23.08094003,25.37499894,27.48490204,29.42597866,31.21267119,32.85845819,34.37581596,35.77621566
90,1,-1.639,15.498,0.10532,15.01435972,16.90106591,18.12267496,21.05616478,23.826212,26.44232323,28.91305418,31.24641156,33.45002567,35.53121833,37.49702292,39.35418424
96,1,-1.644,15.643,0.10899,15.13858292,17.11515167,18.4081851,21.56019327,24.60441551,27.5477073,30.39525263,33.15123166,35.81919512,38.40228506,40.90336972,43.3251279
