age_months,sex,P50,P75,P85,P90,P95,pct120ofP95,pct130ofP95,pct140ofP95,pct150ofP95,pct160ofP95,pct170ofP95,pct180ofP95,pct190ofP95,pct200ofP95
24.0,1,16.575,17.5572,18.1622,18.6095,19.338,23.205613,25.139400000000002,27.0732,29.007,30.940800000000003,32.8746,34.808400000000006,36.7422,38.676
24.5,1,16.5478,17.5213,18.1195,18.5611,19.2789,23.134678,25.06257,26.99046,28.91835,30.84624,32.77413,34.702020000000005,36.629909999999995,38.5578
25.5,1,16.4944,17.4514,18.0367,18.4673,19.1647,22.997592,24.91411,26.830579999999998,28.74705,30.663520000000002,32.57999,34.49646,36.412929999999996,38.3294
26.5,1,16.4426,17.3838,17.957,18.3774,19.0557,22.866809,24.772410000000004,26.67798,28.583550000000002,30.489120000000003,32.394690000000004,34.30026,36.20583,38.1114
27.5,1,16.3922,17.3187,17.8805,18.2913,18.9519,22.742241,24.63747,26.532659999999996,28.42785,30.32304,32.21823,34.11342,36.00861,37.9038
28.5,1,16.3433,17.2559,17.807,18.2089,18.8532,22.623798,24.50916,26.39448,28.2798,30.16512,32.05044,33.93576,35.82108,37.7064
29.5,1,16.2958,17.1955,17.7367,18.1303,18.7595,22.511392,24.38735,26.263299999999997,28.139249999999997,30.0152,31.891149999999996,33.7671,35.643049999999995,37.519
30.5,1,16.2497,17.1373,17.6693,18.0554,18.6708,22.404934,24.27204,26.13912,28.0062,29.87328,31.74036,33.607440000000004,35.47452,37.3416
31.5,1,16.205,17.0813,17.6049,17.9841,18.5869,22.304335,24.16297,26.021659999999997,27.88035,29.739040000000003,31.59773,33.45642,35.31511,37.1738
32.5,1,16.1615,17.0275,17.5435,17.9164,18.5079,22.209506,24.06027,25.91106,27.76185,29.61264,31.46343,33.31422,35.165009999999995,37.0158
33.5,1,16.1193,16.9759,17.485,17.8522,18.4336,22.120357,23.96368,25.807039999999997,27.650399999999998,29.493759999999998,31.337119999999995,33.180479999999996,35.02383999999999,36.8672
34.5,1,16.0784,16.9265,17.4293,17.7914,18.364,22.0368,23.8732,25.7096,27.546,29.382400000000004,31.2188,33.0552,34.8916,36.728
35.5,1,16.0388,16.8791,17.3764,17.7341,18.299,21.958744,23.7887,25.618599999999997,27.4485,29.2784,31.1083,32.9382,34.7681,36.598
36.5,1,16.0003,16.8338,17.3263,17.6802,18.2384,21.8861,23.70992,25.533759999999997,27.357599999999998,29.18144,31.005279999999996,32.829119999999996,34.65295999999999,36.4768
37.5,1,15.963,16.7905,17.2789,17.6296,18.1823,21.818777,23.636990000000004,25.45522,27.273450000000004,29.091680000000004,30.90991,32.72814,34.54637,36.3646
38.5,1,15.927,16.7492,17.2342,17.5823,18.1306,21.756687,23.56978,25.38284,27.1959,29.008960000000002,30.822020000000002,32.63508,34.44814,36.2612
39.5,1,15.892,16.7099,17.1921,17.5382,18.0831,21.699736,23.50803,25.31634,27.124650000000003,28.932960000000005,30.741270000000004,32.549580000000006,34.357890000000005,36.1662
40.5,1,15.8582,16.6725,17.1527,17.4973,18.0399,21.647834,23.45187,25.25586,27.059849999999997,28.86384,30.66783,32.47182,34.27581,36.0798
41.5,1,15.8256,16.637,17.1158,17.4594,18.0007,21.600891,23.40091,25.200979999999998,27.00105,28.801119999999997,30.601189999999995,32.40126,34.20133,36.0014
42.5,1,15.7941,16.6034,17.0813,17.4246,17.9657,21.558815,23.35541,25.151979999999995,26.948549999999997,28.74512,30.541689999999996,32.33826,34.134829999999994,35.9314
43.5,1,15.7636,16.5717,17.0494,17.3928,17.9346,21.521512,23.314980000000002,25.108439999999998,26.901899999999998,28.69536,30.488819999999997,32.28228,34.075739999999996,35.8692
