,sex,age_months,SD0,SD0.5,SD1,SD1.5,SD2,SD2.5,SD3,SD3.5,SD4,SD4.5,SD5
0,1,24.0,16.575,17.2864,18.0984,19.0374,20.3657,21.4529,22.3802,23.2312,24.0383,24.8175,25.5777
1,1,24.5,16.5478,17.2532,18.0566,18.9829,20.3216,21.4247,22.3656,23.229,24.0479,24.8385,25.6099
2,1,25.5,16.4944,17.1883,17.9751,18.8775,20.2374,21.3722,22.3401,23.2284,24.0708,24.8842,25.6777
3,1,26.5,16.4426,17.1256,17.8968,18.7767,20.1583,21.3247,22.3196,23.2326,24.0986,24.9346,25.7502
4,1,27.5,16.3922,17.065,17.8216,18.6805,20.0843,21.2822,22.304,23.2417,24.131,24.9897,25.8274
5,1,28.5,16.3433,17.0065,17.7494,18.5889,20.0153,21.2446,22.2933,23.2555,24.1682,25.0493,25.909
6,1,29.5,16.2958,16.95,17.6801,18.5017,19.9512,21.2119,22.2873,23.274,24.21,25.1135,25.9951
7,1,30.5,16.2497,16.8955,17.6138,18.4188,19.892,21.1839,22.2859,23.2971,24.2562,25.1822,26.0856
8,1,31.5,16.205,16.8429,17.5504,18.3404,19.8376,21.1606,22.2892,23.3247,24.307,25.2552,26.1804
9,1,32.5,16.1615,16.7923,17.4898,18.2662,19.7879,21.142,22.297,23.3568,24.3621,25.3326,26.2795
10,1,33.5,16.1193,16.7435,17.432,18.1962,19.7429,21.1278,22.3092,23.3933,24.4215,25.4142,26.3827
11,1,34.5,16.0784,16.6966,17.377,18.1303,19.7024,21.1182,22.3258,23.434,24.4851,25.4999,26.4899
12,1,35.5,16.0388,16.6515,17.3247,18.0685,19.6664,21.1129,22.3468,23.479,24.5529,25.5897,26.6012
13,1,36.5,16.0003,16.6082,17.2751,18.0108,19.6348,21.1119,22.3719,23.5281,24.6248,25.6835,26.7165
14,1,37.5,15.963,16.5666,17.2282,17.957,19.6075,21.1152,22.4012,23.5813,24.7006,25.7813,26.8356
15,1,38.5,15.927,16.5268,17.1838,17.9071,19.5846,21.1226,22.4346,23.6386,24.7804,25.8829,26.9585
16,1,39.5,15.892,16.4887,17.1421,17.861,19.5658,21.1342,22.472,23.6997,24.8641,25.9883,27.085
17,1,40.5,15.8582,16.4523,17.1028,17.8187,19.5511,21.1497,22.5134,23.7647,24.9515,26.0973,27.2153
18,1,41.5,15.8256,16.4176,17.0661,17.7801,19.5405,21.1692,22.5586,23.8334,25.0426,26.2101,27.3491
19,1,42.5,15.7941,16.3845,17.0317,17.7451,19.5338,21.1926,22.6075,23.9059,25.1374,26.3263,27.4863
20,1,43.5,15.7636,16.3529,16.9998,17.7136,19.531,21.2197,22.6602,23.982,25.2357,26.4461,27.627
21,1,44.5,15.7343,16.323,16.9702,17.6857,19.532,21.2505,22.7164,24.0616,25.3375,26.5692,27.771
22,1,45.5,15.7061,16.2947,16.9429,17.6611,19.5367,21.285,22.7763,24.1447,25.4426,26.6957,27.9182
23,1,46.5,15.679,16.2679,16.9179,17.6399,19.5451,21.323,22.8396,24.2312,25.5511,26.8254,28.0687
24,1,47.5,15.6531,16.2426,16.895,17.622,19.5571,21.3645,22.9062,24.321,25.6628,26.9583,28.2222
25,1,48.5,15.6282,16.2189,16.8744,17.6072,19.5726,21.4094,22.9762,24.414,25.7777,27.0942,28.3787
26,1,49.5,15.6044,16.1966,16.8559,17.5956,19.5914,21.4576,23.0494,24.5102,25.8956,27.2332,28.5382
27,1,50.5,15.5818,16.1759,16.8395,17.587,19.6136,21.509,23.1258,24.6094,26.0166,27.3751,28.7005
28,1,51.5,15.5603,16.1566,16.8251,17.5815,19.6391,21.5636,23.2053,24.7117,26.1404,27.5198,28.8656
29,1,52.5,15.5399,16.1388,16.8127,17.5788,19.6678,21.6213,23.2877,24.8168,26.2671,27.6673,29.0334
30,1,53.5,15.5206,16.1224,16.8023,17.579,19.6995,21.682,23.373,24.9248,26.3966,27.8175,29.2039
31,1,54.5,15.5026,16.1076,16.7939,17.5819,19.7343,21.7456,23.4612,25.0355,26.5287,27.9703,29.3768
32,1,55.5,15.4857,16.0941,16.7874,17.5876,19.772,21.812,23.5521,25.1489,26.6635,28.1257,29.5523
33,1,56.5,15.47,16.0822,16.7827,17.5958,19.8125,21.8812,23.6457,25.265,26.8007,28.2834,29.7301
34,1,57.5,15.4555,16.0716,16.7799,17.6067,19.8559,21.953,23.7419,25.3835,26.9404,28.4436,29.9102
35,1,58.5,15.4421,16.0625,16.779,17.62,19.9019,22.0275,23.8407,25.5044,27.0825,28.606,30.0925
36,1,59.5,15.43,16.0549,16.7798,17.6358,19.9506,22.1045,23.9418,25.6278,27.2269,28.7707,30.2769
37,1,60.5,15.4191,16.0487,16.7824,17.6539,20.0018,22.1839,24.0453,25.7534,27.3734,28.9375,30.4635
38,1,61.5,15.4095,16.044,16.7868,17.6744,20.0555,22.2657,24.1511,25.8812,27.5221,29.1064,30.652
39,1,62.5,15.401,16.0406,16.7928,17.6971,20.1116,22.3499,24.2592,26.0112,27.6729,29.2772,30.8425
40,1,63.5,15.3938,16.0387,16.8006,17.7221,20.17,22.4362,24.3693,26.1432,27.8257,29.45,31.0348
41,1,64.5,15.3878,16.0383,16.8101,17.7491,20.2307,22.5247,24.4816,26.2772,27.9804,29.6246,31.2289
42,1,65.5,15.3831,16.0392,16.8212,17.7783,20.2935,22.6153,24.5958,26.4132,28.1369,29.8011,31.4247
43,1,66.5,15.3795,16.0416,16.834,17.8094,20.3586,22.708,24.712,26.551,28.2952,29.9792,31.6222
44,1,67.5,15.3772,16.0453,16.8483,17.8426,20.4256,22.8026,24.8301,26.6907,28.4553,30.159,31.8212
45,1,68.5,15.3761,16.0505,16.8643,17.8777,20.4947,22.8991,24.95,26.832,28.6171,30.3404,32.0218
46,1,69.5,15.3762,16.057,16.8818,17.9147,20.5657,22.9974,25.0717,26.9751,28.7804,30.5233,32.2238
47,1,70.5,15.3775,16.0649,16.9009,17.9535,20.6387,23.0976,25.1951,27.1198,28.9453,30.7078,32.4273
48,1,71.5,15.3799,16.0741,16.9215,17.9941,20.7134,23.1995,25.3201,27.266,29.1117,30.8936,32.6321
49,1,72.5,15.3835,16.0846,16.9436,18.0365,20.7899,23.303,25.4467,27.4138,29.2795,31.0808,32.8382
50,1,73.5,15.3883,16.0965,16.9672,18.0805,20.8681,23.4082,25.5748,27.563,29.4487,31.2693,33.0455
51,1,74.5,15.3942,16.1097,16.9923,18.1262,20.948,23.5149,25.7044,27.7136,29.6192,31.459,33.254
52,1,75.5,15.4013,16.1241,17.0187,18.1736,21.0295,23.6231,25.8354,27.8655,29.791,31.65,33.4637
53,1,76.5,15.4094,16.1398,17.0466,18.2225,21.1126,23.7328,25.9678,28.0188,29.964,31.8421,33.6744
54,1,77.5,15.4187,16.1567,17.0758,18.2729,21.1972,23.8439,26.1016,28.1733,30.1382,32.0353,33.8862
55,1,78.5,15.429,16.1749,17.1064,18.3248,21.2832,23.9563,26.2366,28.329,30.3135,32.2295,34.0989
56,1,79.5,15.4404,16.1942,17.1383,18.3782,21.3706,24.0701,26.3728,28.4858,30.4899,32.4248,34.3126
57,1,80.5,15.4529,16.2147,17.1714,18.433,21.4594,24.1851,26.5102,28.6437,30.6673,32.621,34.5271
58,1,81.5,15.4664,16.2364,17.2059,18.4892,21.5495,24.3014,26.6487,28.8027,30.8457,32.8181,34.7425
59,1,82.5,15.4809,16.2592,17.2416,18.5467,21.6409,24.4188,26.7884,28.9627,31.025,33.0161,34.9587
60,1,83.5,15.4964,16.2832,17.2785,18.6054,21.7335,24.5373,26.929,29.1237,31.2052,33.2149,35.1756
61,1,84.5,15.5129,16.3082,17.3166,18.6655,21.8273,24.6569,27.0706,29.2855,31.3863,33.4144,35.3932
62,1,85.5,15.5303,16.3343,17.3558,18.7267,21.9222,24.7776,27.2132,29.4482,31.5681,33.6147,35.6114
63,1,86.5,15.5488,16.3615,17.3962,18.7891,22.0182,24.8992,27.3567,29.6118,31.7507,33.8156,35.8303
64,1,87.5,15.5681,16.3896,17.4376,18.8527,22.1152,25.0218,27.5011,29.7761,31.9339,34.0172,36.0498
65,1,88.5,15.5884,16.4188,17.4802,18.9173,22.2133,25.1452,27.6462,29.9412,32.1179,34.2194,36.2697
66,1,89.5,15.6096,16.449,17.5238,18.983,22.3123,25.2696,27.7922,30.1069,32.3025,34.4221,36.4901
67,1,90.5,15.6317,16.4802,17.5684,19.0498,22.4122,25.3947,27.9388,30.2733,32.4876,34.6253,36.711
68,1,91.5,15.6547,16.5123,17.614,19.1175,22.513,25.5206,28.0862,30.4404,32.6733,34.829,36.9323
69,1,92.5,15.6785,16.5453,17.6606,19.1862,22.6146,25.6472,28.2342,30.608,32.8594,35.0331,37.1539
70,1,93.5,15.7032,16.5793,17.7082,19.2558,22.717,25.7746,28.3827,30.7761,33.0461,35.2376,37.3758
71,1,94.5,15.7288,16.6141,17.7566,19.3262,22.8201,25.9026,28.5319,30.9447,33.2331,35.4424,37.598
72,1,95.5,15.7551,16.6498,17.806,19.3976,22.924,26.0312,28.6816,31.1137,33.4205,35.6476,37.8204
73,1,96.5,15.7823,16.6864,17.8562,19.4697,23.0285,26.1603,28.8318,31.2832,33.6082,35.853,38.0431
74,1,97.5,15.8103,16.7238,17.9073,19.5426,23.1337,26.29,28.9824,31.453,33.7963,36.0586,38.2658
75,1,98.5,15.839,16.762,17.9592,19.6162,23.2394,26.4202,29.1334,31.6231,33.9846,36.2644,38.4887
