,age_months,sex,SD0,SD1,SD2,SD3,SD4,SD5,SD6,SD7,SD8
0,0,1,13.407,14.773,16.326,18.1,19.874,21.648,23.422,25.196,26.970000000000002
1,1,1,14.914,16.306,17.791,19.371,20.951,22.531,24.110999999999997,25.690999999999995,27.270999999999994
2,2,1,16.323,17.795,19.384,21.098,22.811,24.525,26.238999999999997,27.952999999999996,29.666999999999994
3,3,1,16.895,18.393,20.022,21.794,23.567,25.339000000000002,27.111000000000004,28.883000000000006,30.65500000000001
4,4,1,17.153,18.658,20.304,22.107,23.91,25.713,27.516000000000002,29.319000000000003,31.122000000000003
5,5,1,17.291,18.796,20.452,22.275,24.098,25.920999999999996,27.743999999999993,29.56699999999999,31.389999999999986
6,6,1,17.342,18.843,20.501,22.335,24.17,26.004,27.838,29.672,31.506
7,7,1,17.33,18.823,20.479,22.319,24.159,25.999,27.839,29.679,31.519
8,8,1,17.266,18.748,20.397,22.236,24.075,25.914,27.753000000000004,29.592000000000006,31.431000000000008
9,9,1,17.17,18.638,20.277,22.111,23.945,25.779,27.613,29.447,31.281
10,10,1,17.054,18.509,20.136,21.963,23.789,25.616000000000003,27.443000000000005,29.270000000000007,31.09700000000001
11,11,1,16.927,18.367,19.982,21.8,23.618,25.436,27.254,29.072000000000003,30.890000000000004
12,12,1,16.803,18.229,19.832,21.64,23.449,25.257,27.065,28.873,30.681
13,13,1,16.677,18.089,19.679,21.478,23.277,25.076000000000004,26.875000000000007,28.67400000000001,30.473000000000013
14,14,1,16.559,17.958,19.536,21.326,23.116,24.906,26.695999999999998,28.485999999999997,30.275999999999996
15,15,1,16.447,17.833,19.4,21.181,22.962,24.743000000000002,26.524000000000004,28.305000000000007,30.08600000000001
16,16,1,16.337,17.711,19.268,21.04,22.812,24.584,26.355999999999998,28.127999999999997,29.899999999999995
17,17,1,16.238,17.601,19.147,20.911,22.675,24.439000000000004,26.203000000000007,27.96700000000001,29.731000000000012
18,18,1,16.145,17.498,19.035,20.791,22.548,24.304,26.06,27.816,29.572
19,19,1,16.056,17.4,18.928,20.677,22.427,24.176,25.924999999999997,27.673999999999996,29.422999999999995
20,20,1,15.979,17.313,18.833,20.576,22.319,24.062,25.805000000000003,27.548000000000005,29.291000000000007
21,21,1,15.909,17.235,18.748,20.486,22.223,23.961,25.698999999999998,27.436999999999998,29.174999999999997
22,22,1,15.844,17.164,18.67,20.402,22.134,23.866,25.598,27.33,29.061999999999998
23,23,1,15.789,17.101,18.602,20.329,22.057,23.784,25.511,27.238,28.965
24,24,1,15.739,17.045,18.54,20.264,21.988,23.712,25.436,27.16,28.884
25,25,1,15.982,17.309,18.82,20.55,22.281,24.011,25.741,27.471,29.201
26,26,1,15.944,17.267,18.769,20.484,22.198,23.913000000000004,25.628000000000007,27.34300000000001,29.058000000000014
27,27,1,15.907,17.227,18.721,20.42,22.12,23.819000000000003,25.518000000000004,27.217000000000006,28.916000000000007
28,28,1,15.869,17.186,18.672,20.358,22.043,23.729,25.415,27.101,28.787
29,29,1,15.834,17.148,18.627,20.299,21.972,23.644000000000002,25.316000000000003,26.988000000000003,28.660000000000004
30,30,1,15.799,17.111,18.584,20.245,21.906,23.567,25.228,26.889000000000003,28.550000000000004
31,31,1,15.764,17.073,18.54,20.191,21.842,23.493,25.144,26.794999999999998,28.445999999999998
32,32,1,15.73,17.038,18.5,20.142,21.784,23.426,25.067999999999998,26.709999999999997,28.351999999999997
33,33,1,15.697,17.003,18.462,20.096,21.73,23.364,24.998,26.632,28.266000000000002
34,34,1,15.664,16.969,18.425,20.052,21.68,23.307,24.933999999999997,26.560999999999996,28.187999999999995
35,35,1,15.633,16.937,18.39,20.013,21.636,23.259,24.882,26.505000000000003,28.128000000000004
36,36,1,15.602,16.906,18.357,19.975,21.594,23.212000000000003,24.830000000000005,26.448000000000008,28.06600000000001
37,37,1,15.572,16.877,18.327,19.944,21.561,23.177999999999997,24.794999999999995,26.411999999999992,28.02899999999999
38,38,1,15.544,16.849,18.3,19.915,21.531,23.145999999999997,24.760999999999996,26.375999999999994,27.990999999999993
39,39,1,15.517,16.823,18.274,19.891,21.507,23.124,24.740999999999996,26.357999999999993,27.97499999999999
40,40,1,15.491,16.799,18.252,19.871,21.49,23.108999999999998,24.727999999999998,26.346999999999998,27.965999999999998
41,41,1,15.468,16.777,18.233,19.856,21.479,23.102,24.725,26.348000000000003,27.971000000000004
42,42,1,15.444,16.757,18.216,19.845,21.473,23.101999999999997,24.730999999999995,26.359999999999992,27.98899999999999
43,43,1,15.424,16.739,18.203,19.838,21.473,23.108,24.743000000000002,26.378000000000004,28.013000000000005
44,44,1,15.404,16.723,18.192,19.835,21.479,23.122,24.765,26.408,28.051000000000002
45,45,1,15.385,16.707,18.184,19.836,21.489,23.141,24.792999999999996,26.444999999999993,28.09699999999999
46,46,1,15.368,16.694,18.178,19.842,21.505,23.168999999999997,24.832999999999995,26.496999999999993,28.16099999999999
47,47,1,15.351,16.683,18.174,19.85,21.526,23.202,24.878000000000004,26.554000000000006,28.230000000000008
48,48,1,15.335,16.671,18.172,19.862,21.552,23.241999999999997,24.931999999999995,26.621999999999993,28.31199999999999
49,49,1,15.32,16.662,18.172,19.877,21.582,23.287,24.991999999999997,26.696999999999996,28.401999999999994
50,50,1,15.305,16.653,18.174,19.895,21.617,23.338,25.059,26.78,28.501
51,51,1,15.291,16.646,18.177,19.917,21.657,23.397000000000002,25.137000000000004,26.877000000000006,28.617000000000008
52,52,1,15.278,16.639,18.183,19.942,21.702,23.461000000000002,25.220000000000002,26.979000000000003,28.738000000000003
53,53,1,15.265,16.633,18.19,19.97,21.75,23.529999999999998,25.309999999999995,27.089999999999993,28.86999999999999
54,54,1,15.253,16.629,18.199,20.001,21.804,23.605999999999998,25.407999999999998,27.209999999999997,29.011999999999997
55,55,1,15.242,16.625,18.209,20.035,21.861,23.687,25.513,27.339000000000002,29.165000000000003
56,56,1,15.231,16.622,18.22,20.071,21.922,23.773000000000003,25.624000000000006,27.47500000000001,29.32600000000001
57,57,1,15.22,16.619,18.233,20.111,21.989,23.867,25.745,27.623,29.501
58,58,1,15.211,16.618,18.248,20.153,22.058,23.962999999999997,25.867999999999995,27.772999999999993,29.67799999999999
59,59,1,15.201,16.617,18.264,20.2,22.135,24.071,26.007,27.943,29.879
60,60,1,15.193,16.617,18.282,20.248,22.214,24.18,26.146,28.112000000000002,30.078000000000003
61,61,1,15.185,16.618,18.301,20.298,22.296,24.293,26.29,28.287,30.284
62,61,1,15.264,16.645,18.259,20.166,22.072,23.979,25.886,27.793,29.7
63,62,1,15.262,16.648,18.273,20.2,22.127,24.054,25.980999999999998,27.907999999999998,29.834999999999997
64,63,1,15.26,16.653,18.29,20.238,22.186,24.134,26.082,28.03,29.978
65,64,1,15.26,16.659,18.308,20.277,22.247,24.216,26.185000000000002,28.154000000000003,30.123000000000005
66,65,1,15.262,16.667,18.328,20.32,22.312,24.304000000000002,26.296000000000003,28.288000000000004,30.280000000000005
67,66,1,15.264,16.676,18.35,20.365,22.38,24.394999999999996,26.409999999999993,28.42499999999999,30.439999999999987
68,67,1,15.268,16.686,18.374,20.413,22.452,24.491000000000003,26.530000000000005,28.569000000000006,30.608000000000008
69,68,1,15.274,16.699,18.399,20.463,22.526,24.59,26.654,28.718,30.782
70,69,1,15.28,16.712,18.427,20.515,22.604,24.692,26.78,28.868000000000002,30.956000000000003
71,70,1,15.288,16.727,18.456,20.571,22.685,24.8,26.915000000000003,29.030000000000005,31.145000000000007
72,71,1,15.296,16.743,18.487,20.628,22.77,24.911,27.052000000000003,29.193000000000005,31.334000000000007
73,72,1,15.306,16.761,18.52,20.689,22.858,25.027,27.196,29.365000000000002,31.534000000000002
74,73,1,15.317,16.78,18.554,20.751,22.948,25.145000000000003,27.342000000000006,29.53900000000001,31.73600000000001
75,74,1,15.328,16.799,18.589,20.816,23.043,25.27,27.497,29.724,31.951
76,75,1,15.341,16.82,18.626,20.883,23.139,25.395999999999997,27.652999999999995,29.909999999999993,32.16699999999999
77,76,1,15.354,16.842,18.665,20.952,23.24,25.527,27.814000000000004,30.101000000000006,32.388000000000005
78,77,1,15.368,16.864,18.704,21.023,23.343,25.662,27.980999999999998,30.299999999999997,32.619
79,78,1,15.382,16.888,18.745,21.097,23.449,25.801000000000002,28.153000000000002,30.505000000000003,32.857
80,79,1,15.398,16.913,18.788,21.174,23.559,25.945,28.331,30.717,33.102999999999994
81,80,1,15.414,16.938,18.831,21.251,23.672,26.092000000000002,28.512000000000004,30.932000000000006,33.352000000000004
82,81,1,15.43,16.964,18.876,21.331,23.786,26.241,28.695999999999998,31.150999999999996,33.605999999999995
83,82,1,15.447,16.991,18.922,21.413,23.905,26.396,28.887,31.378,33.869
84,83,1,15.465,17.019,18.969,21.498,24.027,26.556,29.085,31.614,34.143
85,84,1,15.483,17.047,19.017,21.584,24.152,26.719,29.286,31.853,34.42
86,85,1,15.502,17.076,19.066,21.672,24.279,26.885,29.491000000000003,32.09700000000001,34.703
87,86,1,15.521,17.106,19.116,21.763,24.409,27.056,29.703000000000003,32.35000000000001,34.99700000000001
88,87,1,15.541,17.136,19.168,21.856,24.544,27.232000000000003,29.920000000000005,32.608000000000004,35.29600000000001
89,88,1,15.561,17.167,19.22,21.95,24.681,27.411,30.141000000000002,32.871,35.601
90,89,1,15.581,17.199,19.274,22.048,24.822,27.595999999999997,30.369999999999994,33.14399999999999,35.91799999999999
91,90,1,15.602,17.231,19.328,22.147,24.966,27.785,30.604,33.423,36.242
92,91,1,15.624,17.264,19.383,22.247,25.112,27.976,30.84,33.704,36.568
93,92,1,15.646,17.297,19.44,22.351,25.262,28.173,31.083999999999996,33.99499999999999,36.90599999999999
94,93,1,15.668,17.331,19.497,22.457,25.416,28.376,31.336000000000002,34.29600000000001,37.256
